projectId,projectKey,deviceId,item,status
709,PKX2W9WE0C1PA19GKE,6925405069,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6924407346,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6924407346,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6924407346,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6924407346,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6924909336,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6924909336,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6924909336,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6924909336,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6935426103,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6935426103,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6935426103,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6935426103,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6921665822,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6921665822,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6921665822,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6921665822,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928345556,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928345556,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928345556,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928345556,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6918248960,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6918248960,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6918248960,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6918248960,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928295031,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928295031,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928295031,humidity,notDownloaded
709,PKX2W9WE0C1PA19GKE,6928295031,temperature,notDownloaded
709,PKX2W9WE0C1PA19GKE,6918360981,voc,notDownloaded
709,PKX2W9WE0C1PA19GKE,6918360981,pm2_5,notDownloaded
709,PKX2W9WE0C1PA19GKE,6918360981,humidity,notDownloaded
